,question,answer
1,Is it possible to renew my visa four months in advance,"   No, the maximum you can renew your visa is 3 months in advance of its expiration date."
2,How can I check the status of my visa application?,You can check the status of your visa application by visiting the EMGS website or using the EMGS app.
3,When can I collect my passport after applying for a visa or student pass?,You can collect your passport once your application has reached 100% processing in the EMGS system. You can also check the MASD UM website for updates after 11 am.
4,Can I collect my passport without my student pass? What should I do if my passport doesn't have the student pass? Without the yellow slip,"   No, you must bring your student pass or a yellow slip as proof."
5,What documents do I need to submit for a visa or student pass application?,Send the pdf containing requirements (need to figure out a way to send pdfs)
6,How long does it take to process a visa or student pass application?,The processing time for a visa or student pass application can take anywhere from 21 to 60 working days.
7,"Can I submit my visa or student pass application online, or do I need to visit the visa unit in person?","New students can submit their visa or student pass applications online, while renewals must be done in person at the visa unit."
8,Is there a specific deadline for submitting my passport after receiving a notification from EMGS?,"You should submit your passport at least 10 working days before your visa expires. If you have less time than this, you may need to apply for a special pass."
9,What should I do if I need to travel before my visa or student pass application is processed?,"You can only travel if you have your passport with you. If your application is still being processed, it is advisable to avoid travel."
10,Can I apply for a special pass if my student pass is not ready before my intended travel date?,"You need to wait for your visa renewal to be completed. Applying for a special pass may be necessary in certain situations, such as if your visa renewal is delayed."
11,What are the procedures for extending my visa or student pass?,Send the pdf containing requirements
12,How long can I stay in Malaysia after submitting my passport for a visa or student pass extension?,"You can stay in Malaysia after submitting your passport, even if your visa has expired, while your application is being processed. The visa unit will contact you if you need a special pass."
13,Are there any restrictions or conditions I need to be aware of when renewing my visa or student pass?,Send the pdf containing requirements. Keep checking the EMGS website or your university's website for updates on any restrictions or conditions.
14,"Can I work part-time while studying in Malaysia, and are there any visa implications?","Check the EMGS website guidelines. You can work part-time in allowed places such as restaurants, hotels, petrol stations, mini markets, and around campus. However, you must not let work interfere with your studies. Can only work as a behind the scenes employee. "
15,Are there any updates or changes to visa or immigration policies that I should be aware of?,Regularly check the MASD UM website and the EMGS website for updates and changes to visa or immigration policies.
16,How can I contact the visa unit for further assistance or clarification?,You can contact the visa unit via WhatsApp or email for assistance.
17,Is it possible to expedite the visa or student pass application process in case of an emergency?,"Expedited processing may be possible if you provide a flight ticket and proof of urgency in English. However, approval is solely at the discretion of the immigration department. The University can only request an expedition."
