,Unnamed: 0.1,Unnamed: 0,question,answer,mistral_answers,cosine_similarity_scores,euclidean_distances
0,0,1,Is it possible to renew my visa four months in advance,"   No, the maximum you can renew your visa is 3 months in advance of its expiration date.","Based on the provided context, the answer to your question is: No, the maximum you can renew your visa is 3 months in advance of its expiration date. This is stated in context : 1.",0.9759313796084458,0.21940200854480363
1,1,2,How can I check the status of my visa application?,You can check the status of your visa application by visiting the EMGS website or using the EMGS app.,You can check the status of your visa application by visiting the EMGS (Education Malaysia Global Services) website or using the EMGS app. This information is based on context number 2 and is consistent with the answer provided there.,0.7630401113044192,0.6884183055818386
2,2,3,When can I collect my passport after applying for a visa or student pass?,You can collect your passport once your application has reached 100% processing in the EMGS system. You can also check the MASD UM website for updates after 11 am.,You can collect your passport once your application has reached 100% processing in the EMGS system. You can also check the MASD UM website for updates after 11 am. This information is based on context number 3.,0.9895904721159788,0.1442881049422002
3,3,4,Can I collect my passport without my student pass? What should I do if my passport doesn't have the student pass? Without the yellow slip,"   No, you must bring your student pass or a yellow slip as proof.","Based on the provided context, you cannot collect your passport without your student pass or a yellow slip. If your passport does not have the student pass or a yellow slip, you should bring the yellow slip as proof when you go to collect your passport. The yellow slip serves as a temporary document while your student pass is being processed. It is important to have either of these documents with you when collecting your passport to avoid any issues.",0.7447088521526835,0.714550420260379
4,4,5,What documents do I need to submit for a visa or student pass application?,Send the pdf containing requirements (need to figure out a way to send pdfs),"Based on the provided context, to answer your question, you need to submit the documents as listed on the EMGS website and those required by your university. You can also refer to the pdf containing requirements. To access this pdf, you may need to figure out a way to send or receive pdfs.

For specifics, you may want to check if students from your country need to provide additional documents. Students from Iran, Libya, Oman, and Sudan, for example, may need to provide a letter of eligibility from their embassy.

Lastly, while financial requirements may vary depending on your university and program, there is usually no specific requirement for visa or student pass applications. It's a good idea, however, to check with your university to confirm this.",0.3549985366096119,1.1357829732633489
5,5,6,How long does it take to process a visa or student pass application?,The processing time for a visa or student pass application can take anywhere from 21 to 60 working days.,"Based on the first context provided, the processing time for a visa or student pass application can take anywhere from 21 to 60 working days.",0.9891225716090858,0.14749528699314055
6,6,7,"Can I submit my visa or student pass application online, or do I need to visit the visa unit in person?","New students can submit their visa or student pass applications online, while renewals must be done in person at the visa unit.","Based on the provided context, you can submit your visa or student pass application online if you are a new student. However, if you are a renewing student, you need to visit the visa unit in person.",0.9099700487202084,0.42433465138245763
7,7,8,Is there a specific deadline for submitting my passport after receiving a notification from EMGS?,"You should submit your passport at least 10 working days before your visa expires. If you have less time than this, you may need to apply for a special pass.","Yes, according to the first context, you should submit your passport at least 10 working days before your visa expires if you have received a notification from EMGS. If you have less time than this, you may need to apply for a special pass.",0.8335873462866423,0.576910144411736
8,8,9,What should I do if I need to travel before my visa or student pass application is processed?,"You can only travel if you have your passport with you. If your application is still being processed, it is advisable to avoid travel.","Based on the provided context, if you need to travel before your visa or student pass application is processed, you should only travel if you have your passport with you. However, it is advisable to avoid travel during this time, as it may negatively impact your application. The context states that if your application is still being processed, it is best to wait. Traveling to other countries during this time is not recommended, especially if you do not have your passport. To ensure that all your visa or student pass documents are in order and to avoid any complications during the application process, you should check with your university and the EMGS website for a list of required documents and ensure that you have all necessary documentation prepared.",0.6769062253029902,0.8038579675201638
9,9,10,Can I apply for a special pass if my student pass is not ready before my intended travel date?,"You need to wait for your visa renewal to be completed. Applying for a special pass may be necessary in certain situations, such as if your visa renewal is delayed.","Based on the provided context, if your student pass is not ready before your intended travel date, you may need to apply for a special pass. This is necessary in certain situations where there are delays in the visa renewal process. However, it is recommended to wait for your visa renewal to be completed before traveling, if possible.",0.7962427422521984,0.6383686282553025
10,10,11,What are the procedures for extending my visa or student pass?,Send the pdf containing requirements,"Based on the provided context, the procedure for extending your visa or student pass involves sending the required pdf documents. However, the context does not provide specific information about what these pdf documents are. It would be best to check with the Visa Unit at Universiti Malaya or the EMGS website for a complete list of requirements.

It is also worth noting that the procedures for extending a visa or student pass may vary depending on individual circumstances, such as whether you are changing your program of study or educational institution. Therefore, it is important to check the relevant websites or contact the Visa Unit for specific guidance on your situation.",0.4525553491062505,1.0463696012597092
11,11,12,How long can I stay in Malaysia after submitting my passport for a visa or student pass extension?,"You can stay in Malaysia after submitting your passport, even if your visa has expired, while your application is being processed. The visa unit will contact you if you need a special pass.","Based on the provided context (: 12), you can stay in Malaysia after submitting your passport for a visa or student pass extension while your application is being processed, even if your visa has expired. The visa unit will contact you if you need a special pass. However, the context does not provide specific information about the duration of this stay. It is recommended to check with the Visa Unit at Universiti Malaya for more detailed and accurate information.",0.8817125250903206,0.4863897278000319
12,12,13,Are there any restrictions or conditions I need to be aware of when renewing my visa or student pass?,Send the pdf containing requirements. Keep checking the EMGS website or your university's website for updates on any restrictions or conditions.,"Based on the provided context, yes, there may be restrictions or conditions when renewing your visa or student pass. It is recommended to regularly check the Education Malaysia Global Services (EMGS) website or your university's website for updates on any potential restrictions or conditions. The specific requirements might vary, so it's essential to review the up-to-date information. Additionally, you were provided with a PDF containing requirements, which might contain specific details about restrictions or conditions for your situation.",0.3595355677299566,1.131781239781788
